null,dealstamp,cpty,"cptyname",cptycountry,cptyparent,"cptyparentname",cptyparentcountry,cptyparentrating,lastparent,"lastparentname",lastparentcountry,lastparentrating,instrumentname,"foldername",foldercountryname,valuedate,maturitydate,guaranteepercent_cpty,currency,nominalvaluecur,nominalvalue,oneoff,guaranteedparentrating,cer,recequivalente,recbruto,"lastparentfname","lastparentfcountryname",lastparentfrating,dispuesto,cer2,collateralagreement
1,MX_CI_S140682000,H7A4,"CONTROLADORA VUELA COMPANIA DE AVIACION SAB DE CV",MX,H7A4G,"CONTROLADORA VUELA COMPANIA AVIACION SAPI DE CV,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL SOLIDARIA,"DIV. INT. MEXICO",Mexico,2020-09-09,2023-02-21,100.000000,MXN,22069575.000000,1109989.274625,0,5.0,0.000000,null,null,"VOLARIS","Mexico",5.0,null,null,null
1,.GFDD9E5,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL MANCOMUNADA,"ESPANA - GBP",Spain,2022-06-08,2024-08-30,100.000000,USD,14201330.870000,14201330.870000,0,5.0,84444.215432,null,null,"VOLARIS","Mexico",5.0,null,null,null
1,.GFDD9E5,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL MANCOMUNADA,"ESPANA - GBP",Spain,2022-06-08,2025-03-31,100.000000,USD,14201330.870000,14201330.870000,0,5.0,26544.933879,null,null,"VOLARIS","Mexico",5.0,null,null,null
1,MX_CI_S141911000,H7A4,"CONTROLADORA VUELA COMPANIA DE AVIACION SAB DE CV",MX,H7A4G,"CONTROLADORA VUELA COMPANIA AVIACION SAPI DE CV,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL SOLIDARIA,"DIV. INT. MEXICO",Mexico,2022-08-24,2023-09-24,100.000000,MXN,33577267.762500,1688768.682115,0,5.0,0.000000,null,null,"VOLARIS","Mexico",5.0,null,null,null
1,MX_05_05010000274,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL SOLIDARIA,"DIV. INT. MEXICO",Mexico,2020-11-30,2022-11-14,100.000000,MXN,18517454.038875,931335.350885,0,5.0,13215.186042,null,null,"VOLARIS","Mexico",5.0,null,null,null
1,MX_05_05009917166,H7A4,"CONTROLADORA VUELA COMPANIA DE AVIACION SAB DE CV",MX,H7A4G,"CONTROLADORA VUELA COMPANIA AVIACION SAPI DE CV,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL SOLIDARIA,"DIV. INT. MEXICO",Mexico,2020-10-29,2022-11-14,100.000000,MXN,80242300.702575,4035786.513836,0,5.0,57265.806275,null,null,"VOLARIS","Mexico",5.0,null,null,null
0,.GFDD9E5,CSIFC1,"CIBANCO SA IBM FIDEICOMISO CIB3853",MX,CSIFC,"CIBANCO SA IBM FIDEICOMISO CIB3853, GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,CREDITO SINDICADO - COMPROMETIDO,"ESPANA - GBP",Spain,2022-06-08,2026-06-08,null,USD,14201330.860000,14201330.860000,0,null,null,null,null,"VOLARIS","Mexico",5.0,null,null,null
1,.GFDD9E5,H7A4,"CONTROLADORA VUELA COMPANIA DE AVIACION SAB DE CV",MX,H7A4G,"CONTROLADORA VUELA COMPANIA AVIACION SAPI DE CV,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL MANCOMUNADA,"ESPANA - GBP",Spain,2022-06-08,2026-06-08,100.000000,USD,14201330.870000,14201330.870000,0,5.0,465655.020610,null,null,"VOLARIS","Mexico",5.0,null,null,null
0,.GFDD9E5,CSIFC1,"CIBANCO SA IBM FIDEICOMISO CIB3853",MX,CSIFC,"CIBANCO SA IBM FIDEICOMISO CIB3853, GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,FINANCIACION DE EXPORTACIONES - NO COMPROMETIDO,"ESPANA - GBP",Spain,2022-06-08,2026-06-08,null,USD,10513219.380000,10513219.380000,0,null,0.000000,10513219.380000,10513219.380000,"VOLARIS","Mexico",5.0,10513219.380000,931310.041221,null
1,MX_05_05010000274,H7A4,"CONTROLADORA VUELA COMPANIA DE AVIACION SAB DE CV",MX,H7A4G,"CONTROLADORA VUELA COMPANIA AVIACION SAPI DE CV,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL SOLIDARIA,"DIV. INT. MEXICO",Mexico,2020-11-30,2022-11-14,100.000000,MXN,18517454.038875,931335.350885,0,5.0,13215.186042,null,null,"VOLARIS","Mexico",5.0,null,null,null
1,MX_05_05010457606,H7A4,"CONTROLADORA VUELA COMPANIA DE AVIACION SAB DE CV",MX,H7A4G,"CONTROLADORA VUELA COMPANIA AVIACION SAPI DE CV,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL SOLIDARIA,"DIV. INT. MEXICO",Mexico,2021-06-30,2022-11-14,100.000000,MXN,49379877.370725,2483560.932361,0,5.0,35240.496158,null,null,"VOLARIS","Mexico",5.0,null,null,null
1,MX_CI_S140563000,H7A4,"CONTROLADORA VUELA COMPANIA DE AVIACION SAB DE CV",MX,H7A4G,"CONTROLADORA VUELA COMPANIA AVIACION SAPI DE CV,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL SOLIDARIA,"DIV. INT. MEXICO",Mexico,2020-07-15,2023-02-25,100.000000,MXN,143727154.418100,7228757.231458,0,5.0,0.000000,null,null,"VOLARIS","Mexico",5.0,null,null,null
